DATE,COODIV
2015-10-01,63366.8
2016-01-01,63920.0
2016-04-01,64644.1
2016-07-01,65412.8
2016-10-01,66507.4
2017-01-01,68735.8
2017-04-01,69471.7
2017-07-01,70110.7
2017-10-01,72479.5
2018-01-01,74263.1
2018-04-01,75595.4
2018-07-01,76819.9
2018-10-01,77561.1
2019-01-01,76739.2
2019-04-01,78401.6
