DATE,COBPPRIV
2014-12-01,2093
2015-01-01,1489
2015-02-01,1911
2015-03-01,2793
2015-04-01,2882
2015-05-01,2531
2015-06-01,3251
2015-07-01,2737
2015-08-01,2632
2015-09-01,2741
2015-10-01,2139
2015-11-01,2498
2015-12-01,2979
2016-01-01,2149
2016-02-01,2349
2016-03-01,2742
2016-04-01,3035
2016-05-01,3539
2016-06-01,3013
2016-07-01,2868
2016-08-01,2936
2016-09-01,3568
2016-10-01,4076
2016-11-01,3644
2016-12-01,2864
2017-01-01,3146
2017-02-01,2948
2017-03-01,3471
2017-04-01,3986
2017-05-01,2865
2017-06-01,4640
2017-07-01,3089
2017-08-01,4476
2017-09-01,3016
2017-10-01,3173
2017-11-01,3619
2017-12-01,2639
2018-01-01,3875
2018-02-01,4177
2018-03-01,5473
2018-04-01,3672.0
2018-05-01,3675.0
2018-06-01,3674.0
2018-07-01,3283.0
2018-08-01,3320.0
2018-09-01,4166.0
2018-10-01,3326.0
2018-11-01,3649.0
2018-12-01,4293.0
2019-01-01,3026.0
2019-02-01,2676.0
2019-03-01,3078.0
2019-04-01,3593.0
2019-05-01,3653.0
2019-06-01,3902.0
2019-07-01,3848.0
2019-08-01,3161.0
2019-09-01,3299.0
